run,segment,pixel,accepted,chi2r,cen1,cen1_err_pct,cen2,cen2_err_pct,attempt,window
8718,0,1031,0,,,,,,,
8719,0,1017,0,,,,,,,
8721,0,1078,0,,,,,,,
8721,0,1079,0,,,,,,,
8721,0,1105,1,1.17,152.3,4.0,187.9,2.7,"fill-in 1/2 found, widths: sig1=8,sig2=8",recipe window
8721,0,1108,0,,,,,,,
8824,0,1099,0,,,,,,,
8824,0,1100,0,,,,,,,
8825,0,1032,0,,,,,,,
8825,0,1033,0,,,,,,,
8826,0,1023,0,,,,,,,
8827,0,1078,0,,,,,,,
8827,0,1079,0,,,,,,,
8827,0,1105,0,,,,,,,
8827,0,1117,0,,,,,,,
8828,0,1054,0,,,,,,,
8828,0,1095,0,,,,,,,
8828,0,1096,0,,,,,,,
8829,0,1017,0,,,,,,,
8829,0,1021,0,,,,,,,
8830,0,1027,0,,,,,,,
8830,0,1031,0,,,,,,,
8831,0,1079,0,,,,,,,
8831,0,1117,0,,,,,,,
8832,0,1066,0,,,,,,,
8832,0,1095,0,,,,,,,
8832,0,1099,0,,,,,,,
8832,0,1105,0,,,,,,,
8832,0,1108,0,,,,,,,
8834,0,1042,0,,,,,,,
8834,0,1053,0,,,,,,,
8834,0,1084,0,,,,,,,
8834,0,1085,1,1.2,159.6,2.5,192.2,3.0,predicted-start,recipe window
8834,0,1088,0,,,,,,,
8834,0,1095,0,,,,,,,
8834,0,1102,0,,,,,,,
8835,0,1032,0,,,,,,,
8835,0,1064,0,,,,,,,
8835,0,1077,0,,,,,,,
8835,0,1081,0,,,,,,,
8837,0,1040,0,,,,,,,
8838,0,1026,0,,,,,,,
8838,0,1033,0,,,,,,,
8839,0,1096,0,,,,,,,
8839,0,1106,0,,,,,,,
8840,0,1055,0,,,,,,,
8840,0,1086,0,,,,,,,
8840,0,1096,0,,,,,,,
8841,0,1033,0,,,,,,,
8841,0,1074,0,,,,,,,
8841,0,1077,0,,,,,,,
8841,0,1078,0,,,,,,,
8841,0,1081,0,,,,,,,
8842,0,1052,0,,,,,,,
8842,0,1053,0,,,,,,,
8843,0,1037,0,,,,,,,
8843,0,1038,1,1.25,153.9,10.7,186.0,2.8,"fill-in 1/2 found, widths: sig1=8,sig2=8",recipe window
8843,0,1041,0,,,,,,,
8844,0,1037,1,1.11,157.5,3.8,196.3,3.6,recipe,recipe window
8844,0,1049,0,,,,,,,
8844,0,1052,0,,,,,,,
8844,0,1056,0,,,,,,,
8845,0,1032,0,,,,,,,
8845,0,1061,0,,,,,,,
8845,0,1065,0,,,,,,,
8846,0,1042,0,,,,,,,
8846,0,1074,0,,,,,,,
8846,0,1077,0,,,,,,,
8846,0,1081,0,,,,,,,
8846,0,1089,0,,,,,,,
8847,0,1095,0,,,,,,,
8848,0,1079,0,,,,,,,
8848,0,1105,0,,,,,,,
8848,0,1109,0,,,,,,,
8849,0,1013,0,,,,,,,
8849,0,1040,0,,,,,,,
8849,0,1048,0,,,,,,,
8849,0,1051,0,,,,,,,
8849,0,1055,0,,,,,,,
8850,0,1060,0,,,,,,,
8850,0,1064,0,,,,,,,
8850,0,1067,0,,,,,,,
8850,0,1068,0,,,,,,,
8853,0,1041,0,,,,,,,
8853,0,1076,0,,,,,,,
8853,0,1080,0,,,,,,,
8853,0,1084,0,,,,,,,
8853,0,1091,0,,,,,,,
8853,0,1092,0,,,,,,,
8854,0,1053,0,,,,,,,
8854,0,1066,0,,,,,,,
8854,0,1094,0,,,,,,,
8854,0,1098,0,,,,,,,
8854,0,1102,0,,,,,,,
8855,0,1078,0,,,,,,,
8855,0,1111,0,,,,,,,
8856,0,1089,0,,,,,,,
8856,0,1100,0,,,,,,,
8858,0,1078,0,,,,,,,
8859,0,1065,0,,,,,,,
8859,0,1098,1,1.14,147.9,5.8,195.2,0.4,"prominence=7, widths: sig1=5,sig2=5",predicted window
8859,0,1111,0,,,,,,,
8860,0,1052,0,,,,,,,
8860,0,1053,0,,,,,,,
8860,0,1084,0,,,,,,,
8860,0,1087,0,,,,,,,
8860,0,1091,0,,,,,,,
8860,0,1094,0,,,,,,,
8860,0,1101,0,,,,,,,
8861,0,1041,0,,,,,,,
8861,0,1063,0,,,,,,,
8861,0,1079,0,,,,,,,
8861,0,1080,0,,,,,,,
8862,0,1021,0,,,,,,,
8862,0,1047,0,,,,,,,
