run,segment,pixel,change,old,new,under_check_row
8635,0,2063,added,,Bi-207-9177,
8635,0,2064,added,,Bi-207-9177,
8635,0,2066,added,,Bi-207-8779,
8635,0,2067,added,,Bi-207-8779,
8635,0,2068,added,,Bi-207-8779,
8636,0,25,added,,Bi-207-9176,
8636,0,38,added,,Bi-207-9177,
8636,0,66,added,,Bi-207-8779,
8636,0,84,added,,Cd-109-9178,
8636,0,2017,added,,Cd-109-9178,
8636,0,2018,added,,Cd-109-9178,
8636,0,2021,added,,Bi-207-8890,
8636,0,2026,added,,Cd-109-9178,
8636,0,2027,added,,Cd-109-9178,
8636,0,2030,added,,Bi-207-8890,
8636,0,2031,added,,Bi-207-8890,
8636,0,2037,added,,Cd-109-9178,
8636,0,2041,added,,Bi-207-8890,
8636,0,2059,added,,Bi-207-9176,
8636,0,2060,added,,Bi-207-9176,
8636,0,2063,added,,Bi-207-9177,
8636,0,2064,added,,Bi-207-9177,
8636,0,2066,added,,Bi-207-8779,
8636,0,2067,added,,Bi-207-8779,
8636,0,2072,added,,Bi-207-9176,
8636,0,2075,added,,Bi-207-9177,
8636,0,2076,added,,Bi-207-9177,
8636,0,2079,added,,Bi-207-8779,
8636,0,2080,added,,Bi-207-8779,
8636,0,2091,added,,Bi-207-8779,
8637,0,22,added,,Bi-207-8779,
8637,0,23,added,,Bi-207-8779,
8637,0,2037,added,,Cd-109-9178,
8637,0,2038,added,,Cd-109-9178,
8637,0,2041,added,,Bi-207-8890,
8637,0,2042,added,,Bi-207-8890,
8637,0,2048,added,,Cd-109-9178,
8637,0,2049,added,,Cd-109-9178,
8637,0,2052,added,,Bi-207-8890,
8637,0,2053,added,,Bi-207-8890,
8637,0,2061,added,,Cd-109-9178,
8637,0,2062,added,,Cd-109-9178,
8637,0,2065,added,,Bi-207-8890,
8637,0,2084,added,,Bi-207-9176,
8637,0,2086,added,,Bi-207-9177,
8637,0,2087,added,,Bi-207-9177,
8637,0,2088,added,,Bi-207-9177,
8637,0,2090,added,,Bi-207-8779,
8637,0,2091,added,,Bi-207-8779,
8637,0,2094,added,,Bi-207-9176,
8637,0,2095,added,,Bi-207-9176,
8637,0,2097,added,,Bi-207-9177,
8637,0,2098,added,,Bi-207-9177,
8637,0,2101,added,,Bi-207-8779,
8637,0,2102,added,,Bi-207-8779,
8637,0,2111,added,,Bi-207-8779,
8643,0,14,added,,Bi-207-8779,
8643,0,15,added,,Bi-207-8779,
8643,0,24,added,,Bi-207-8779,
8643,0,41,added,,Bi-207-8890,
8643,0,2049,added,,Cd-109-9178,
8643,0,2053,added,,Bi-207-8890,
8643,0,2061,added,,Cd-109-9178,
8643,0,2062,added,,Cd-109-9178,
8643,0,2064,added,,Bi-207-8890,
8643,0,2065,added,,Bi-207-8890,
8643,0,2066,added,,Bi-207-8890,
8643,0,2074,added,,Cd-109-9178,
8643,0,2077,added,,Bi-207-8890,
8643,0,2078,added,,Bi-207-8890,
8643,0,2084,added,,Bi-207-9176,
8643,0,2094,added,,Bi-207-9176,
8643,0,2095,added,,Bi-207-9176,
8643,0,2097,added,,Bi-207-9177,
8643,0,2098,added,,Bi-207-9177,
8643,0,2101,added,,Bi-207-8779,
8643,0,2102,added,,Bi-207-8779,
8643,0,2107,added,,Bi-207-9177,
8643,0,2108,added,,Bi-207-9177,
8643,0,2111,added,,Bi-207-8779,
8643,0,2112,added,,Bi-207-8779,
8644,0,80,added,,Bi-207-8779,
8644,0,83,added,,Bi-207-9176,
8644,0,84,added,,Bi-207-9176,
8644,0,91,added,,Bi-207-8779,
8644,0,92,added,,Bi-207-8779,
8644,0,101,added,,Bi-207-8779,
8644,0,102,added,,Bi-207-8779,
8644,0,2004,added,,Bi-207-8890,
8644,0,2009,added,,Cd-109-9178,
8644,0,2010,added,,Cd-109-9178,
8644,0,2012,added,,Bi-207-8890,
8644,0,2013,added,,Bi-207-8890,
8644,0,2017,added,,Cd-109-9178,
8644,0,2018,added,,Cd-109-9178,
8644,0,2021,added,,Bi-207-8890,
8644,0,2028,added,,Bi-207-9177,
8644,0,2029,added,,Bi-207-9177,
8644,0,2039,added,,Bi-207-9177,
8644,0,2040,added,,Bi-207-9177,
8644,0,2042,added,,Bi-207-8779,
8644,0,2043,added,,Bi-207-8779,
8644,0,2054,added,,Bi-207-8779,
8644,0,2055,added,,Bi-207-8779,
8645,0,2,added,,Bi-207-9177,
8645,0,3,added,,Bi-207-9177,
8645,0,9,added,,Bi-207-9177,
8645,0,26,added,,Cd-109-9178,
8645,0,29,added,,Bi-207-8890,
8645,0,36,added,,Cd-109-9178,
8645,0,2074,added,,Cd-109-9178,
8645,0,2077,added,,Bi-207-8890,
8645,0,2078,added,,Bi-207-8890,
8645,0,2085,added,,Cd-109-9178,
8645,0,2086,added,,Cd-109-9178,
8645,0,2088,added,,Bi-207-8890,
8645,0,2089,added,,Bi-207-8890,
8645,0,2090,added,,Bi-207-8890,
8645,0,2096,added,,Cd-109-9178,
8645,0,2099,added,,Bi-207-8890,
8645,0,2100,added,,Bi-207-8890,
8645,0,2107,added,,Bi-207-9177,
8645,0,2108,added,,Bi-207-9177,
8645,0,2115,added,,Bi-207-9177,
8645,0,2116,added,,Bi-207-9177,
8646,0,2,added,,Bi-207-9176,
8646,0,38,added,,Cd-109-9178,
8646,0,66,added,,Bi-207-8890,
8646,0,67,added,,Bi-207-8890,
8646,0,2063,added,,Cd-109-9178,
8646,0,2066,added,,Bi-207-8890,
8646,0,2067,added,,Bi-207-8890,
8646,0,2075,added,,Cd-109-9178,
8646,0,2076,added,,Cd-109-9178,
8646,0,2077,added,,Cd-109-9178,
8646,0,2079,added,,Bi-207-8890,
8646,0,2080,added,,Bi-207-8890,
8646,0,2087,added,,Cd-109-9178,
8646,0,2088,added,,Cd-109-9178,
8646,0,2091,added,,Bi-207-8890,
8646,0,2095,added,,Bi-207-9176,
8646,0,2096,added,,Bi-207-9176,
8646,0,2105,added,,Bi-207-9176,
8646,0,2106,added,,Bi-207-9176,
8646,0,2108,added,,Bi-207-9177,
8646,0,2109,added,,Bi-207-9177,
8646,0,2114,added,,Bi-207-9176,
8646,0,2117,added,,Bi-207-9177,
8646,0,2118,added,,Bi-207-9177,
8647,0,2050,added,,Cd-109-9178,
8647,0,2051,added,,Cd-109-9178,
8647,0,2054,added,,Bi-207-8890,
8647,0,2063,added,,Cd-109-9178,
8647,0,2064,added,,Cd-109-9178,
8647,0,2066,added,,Bi-207-8890,
8647,0,2067,added,,Bi-207-8890,
8647,0,2085,added,,Bi-207-9176,
8647,0,2089,added,,Bi-207-9177,
8647,0,2095,added,,Bi-207-9176,
8647,0,2096,added,,Bi-207-9176,
8647,0,2099,added,,Bi-207-9177,
8647,0,2100,added,,Bi-207-9177,
8647,0,2102,added,,Bi-207-8779,
8647,0,2105,added,,Bi-207-9176,
8647,0,2108,added,,Bi-207-9177,
8647,0,2109,added,,Bi-207-9177,
8647,0,2111,added,,Bi-207-8779,
8647,0,2112,added,,Bi-207-8779,
8648,0,25,added,,Bi-207-9176,
8648,0,30,added,,Bi-207-9177,
8648,0,88,added,,Cd-109-9178,
8648,0,98,added,,Cd-109-9178,
8648,0,2028,added,,Cd-109-9178,
8648,0,2029,added,,Cd-109-9178,
8648,0,2032,added,,Bi-207-8890,
8648,0,2038,added,,Cd-109-9178,
8648,0,2039,added,,Cd-109-9178,
8648,0,2040,added,,Cd-109-9178,
8648,0,2042,added,,Bi-207-8890,
8648,0,2043,added,,Bi-207-8890,
8648,0,2050,added,,Cd-109-9178,
8648,0,2051,added,,Cd-109-9178,
8648,0,2054,added,,Bi-207-8890,
8648,0,2073,added,,Bi-207-9176,
8648,0,2074,added,,Bi-207-9176,
8648,0,2077,added,,Bi-207-9177,
8648,0,2078,added,,Bi-207-9177,
8648,0,2080,added,,Bi-207-8779,
8648,0,2081,added,,Bi-207-8779,
8648,0,2084,added,,Bi-207-9176,
8648,0,2085,added,,Bi-207-9176,
8648,0,2088,added,,Bi-207-9177,
8648,0,2089,added,,Bi-207-9177,
8648,0,2092,added,,Bi-207-8779,
8649,0,36,added,,Bi-207-9176,
8649,0,47,added,,Bi-207-9176,
8649,0,81,added,,Bi-207-8779,
8649,0,2019,added,,Cd-109-9178,
8649,0,2020,added,,Cd-109-9178,
8649,0,2022,added,,Bi-207-8890,
8649,0,2023,added,,Bi-207-8890,
8649,0,2028,added,,Cd-109-9178,
8649,0,2029,added,,Cd-109-9178,
8649,0,2032,added,,Bi-207-8890,
8649,0,2033,added,,Bi-207-8890,
8649,0,2048,added,,Bi-207-9176,
8649,0,2052,added,,Bi-207-9177,
8649,0,2053,added,,Bi-207-9177,
8649,0,2056,added,,Bi-207-8779,
8649,0,2060,added,,Bi-207-9176,
8649,0,2061,added,,Bi-207-9176,
8649,0,2064,added,,Bi-207-9177,
8649,0,2065,added,,Bi-207-9177,
8649,0,2066,added,,Bi-207-9177,
8649,0,2068,added,,Bi-207-8779,
8649,0,2069,added,,Bi-207-8779,
8649,0,2073,added,,Bi-207-9176,
8649,0,2074,added,,Bi-207-9176,
8649,0,2077,added,,Bi-207-9177,
8649,0,2078,added,,Bi-207-9177,
8649,0,2081,added,,Bi-207-8779,
8650,0,60,added,,Bi-207-9176,
8650,0,72,added,,Bi-207-9176,
8650,0,114,added,,Cd-109-9178,
8650,0,2004,added,,Cd-109-9178,
8650,0,2011,added,,Cd-109-9178,
8650,0,2012,added,,Cd-109-9178,
8650,0,2014,added,,Bi-207-8890,
8650,0,2020,added,,Cd-109-9178,
8650,0,2022,added,,Bi-207-8890,
8650,0,2023,added,,Bi-207-8890,
8650,0,2036,added,,Bi-207-9176,
8650,0,2037,added,,Bi-207-9176,
8650,0,2040,added,,Bi-207-9177,
8650,0,2041,added,,Bi-207-9177,
8650,0,2044,added,,Bi-207-8779,
8650,0,2048,added,,Bi-207-9176,
8650,0,2049,added,,Bi-207-9176,
8650,0,2052,added,,Bi-207-9177,
8650,0,2053,added,,Bi-207-9177,
8650,0,2055,added,,Bi-207-8779,
8650,0,2056,added,,Bi-207-8779,
8650,0,2068,added,,Bi-207-8779,
8651,0,83,added,,Bi-207-9176,
8651,0,84,added,,Bi-207-9176,
8651,0,98,added,,Bi-207-9177,
8651,0,2009,added,,Cd-109-9178,
8651,0,2010,added,,Cd-109-9178,
8651,0,2011,added,,Cd-109-9178,
8651,0,2012,added,,Bi-207-8890,
8651,0,2013,added,,Bi-207-8890,
8651,0,2014,added,,Bi-207-8890,
8651,0,2018,added,,Cd-109-9178,
8651,0,2019,added,,Cd-109-9178,
8651,0,2021,added,,Bi-207-8890,
8651,0,2022,added,,Bi-207-8890,
8651,0,2036,added,,Bi-207-9176,
8651,0,2039,added,,Bi-207-9177,
8651,0,2040,added,,Bi-207-9177,
8651,0,2043,added,,Bi-207-8779,
8651,0,2044,added,,Bi-207-8779,
8651,0,2047,added,,Bi-207-9176,
8651,0,2048,added,,Bi-207-9176,
8651,0,2051,added,,Bi-207-9177,
8651,0,2052,added,,Bi-207-9177,
8651,0,2055,added,,Bi-207-8779,
8651,0,2056,added,,Bi-207-8779,
8652,0,35,added,,Bi-207-9176,
8652,0,36,added,,Bi-207-9176,
8652,0,75,added,,Bi-207-9177,
8652,0,95,added,,Cd-109-9178,
8652,0,108,added,,Bi-207-8890,
8652,0,2010,added,,Cd-109-9178,
8652,0,2017,added,,Cd-109-9178,
8652,0,2018,added,,Cd-109-9178,
8652,0,2019,added,,Cd-109-9178,
8652,0,2021,added,,Bi-207-8890,
8652,0,2022,added,,Bi-207-8890,
8652,0,2027,added,,Cd-109-9178,
8652,0,2028,added,,Cd-109-9178,
8652,0,2031,added,,Bi-207-8890,
8652,0,2032,added,,Bi-207-8890,
8652,0,2047,added,,Bi-207-9176,
8652,0,2051,added,,Bi-207-9177,
8652,0,2059,added,,Bi-207-9176,
8652,0,2060,added,,Bi-207-9176,
8652,0,2063,added,,Bi-207-9177,
8652,0,2064,added,,Bi-207-9177,
8652,0,2067,added,,Bi-207-8779,
8652,0,2068,added,,Bi-207-8779,
8652,0,2072,added,,Bi-207-9176,
8652,0,2073,added,,Bi-207-9176,
8652,0,2076,added,,Bi-207-9177,
8652,0,2077,added,,Bi-207-9177,
8652,0,2080,added,,Bi-207-8779,
8653,0,28,added,,Bi-207-9177,
