run,segment,field,detector,slot,source,pred_x,pred_y,peak_pixel,snap_dist,peak_excess,peak_counts,n_support,n_pixels,pixels,flag
9402,36,137/137A-exb2000,upper,R2C3,Ce-139-9179,-0.85,-5.12,67,0.13,1.1,2546,0,5,54;55;66;67;79,CHECK
9402,36,137/137A-exb2000,lower,R1C1,Bi-207-8890,5.86,8.22,,,,,0,0,,CHECK
9402,36,137/137A-exb2000,lower,R1C2,Bi-207-9177,5.26,1.63,1019,0.1,54.7,28302,7,4,1010;1011;1018;1019,
9402,36,137/137A-exb2000,lower,R1C3,Bi-207-9176,3.76,-4.43,1032,0.1,5.1,12385,4,4,1022;1023;1031;1032,
9402,36,137/137A-exb2000,lower,R2C1,Sn-113-9183,-0.74,8.56,1059,0.1,70.6,27342,2,4,1047;1059;1060;1072,
9402,36,137/137A-exb2000,lower,R2C2,Cd-109-9178,-2.24,0.77,1076,0.1,4.4,16327,5,5,1062;1063;1064;1075;1076,
9402,36,137/137A-exb2000,lower,R2C3,Ce-139-9179,-2.24,-4.43,1079,0.1,3.7,8812,3,4,1066;1067;1079;1080,
9402,37,137/137A-exb2000,upper,R1C1,Bi-207-8890,3.65,9.62,,,,,0,0,,CHECK
9402,37,137/137A-exb2000,upper,R1C2,Bi-207-9177,3.65,2.7,97,0.14,5.9,7435,4,4,97;98;106;107,
9402,37,137/137A-exb2000,upper,R1C3,Bi-207-9176,3.65,-4.23,101,0.14,3.5,9878,2,5,91;101;102;110;111,
9402,37,137/137A-exb2000,upper,R2C1,Sn-113-9183,-0.85,8.76,59,0.14,4.6,3673,2,4,47;59;60;72,
9402,37,137/137A-exb2000,upper,R2C2,Cd-109-9178,-2.35,2.7,50,0.14,25.3,46274,5,7,38;39;49;50;51;62;63,
9402,37,137/137A-exb2000,upper,R2C3,Ce-139-9179,-0.85,-5.1,67,0.14,1.3,2956,3,4,54;55;67;68,CHECK
9402,37,137/137A-exb2000,lower,R1C1,Bi-207-8890,7.33,7.37,,,,,0,0,,CHECK
9402,37,137/137A-exb2000,lower,R1C2,Bi-207-9177,6.73,0.78,1011,0.09,27.7,3641,6,4,1010;1011;1019;1020,
9402,37,137/137A-exb2000,lower,R1C3,Bi-207-9176,5.23,-5.28,1023,0.09,11.2,30157,7,7,1014;1015;1022;1023;1024;1032;1033,
9402,37,137/137A-exb2000,lower,R2C1,Sn-113-9183,0.73,7.71,1047,0.09,4.1,3040,3,4,1047;1059;1060;1072,
9402,37,137/137A-exb2000,lower,R2C2,Cd-109-9178,-0.77,-0.08,1064,0.09,6.8,27493,4,4,1051;1063;1064;1076,
9402,37,137/137A-exb2000,lower,R2C3,Ce-139-9179,-0.77,-5.28,1067,0.09,9.3,19557,2,6,1054;1055;1067;1068;1079;1080,
9402,38,137/137A-exb2000,upper,R1C1,Bi-207-8890,3.65,7.89,94,0.13,1.0,430,1,4,84;94;95;104,CHECK
9402,38,137/137A-exb2000,upper,R1C2,Bi-207-9177,3.65,0.96,98,0.13,7.2,10500,4,5,97;98;99;107;108,
9402,38,137/137A-exb2000,upper,R1C3,Bi-207-9176,3.65,-5.97,102,0.13,2.2,6004,2,5,92;102;103;111;112,
9402,38,137/137A-exb2000,upper,R2C1,Sn-113-9183,-0.85,7.02,60,0.13,3.3,5496,4,4,47;48;59;60,
9402,38,137/137A-exb2000,upper,R2C2,Cd-109-9178,-2.35,0.96,51,0.13,4.0,56321,6,5,50;51;52;63;64,
9402,38,137/137A-exb2000,upper,R2C3,Ce-139-9179,-0.85,-6.83,68,0.13,2.5,2735,5,4,55;56;68;69,
9402,38,137/137A-exb2000,lower,R1C1,Bi-207-8890,5.8,5.75,1017,0.78,17.2,13878,4,4,1017;1018;1026;1027,
9402,38,137/137A-exb2000,lower,R1C2,Bi-207-9177,5.2,-0.83,1020,0.83,19.2,26257,7,4,1011;1012;1019;1020,
9402,38,137/137A-exb2000,lower,R1C3,Bi-207-9176,3.7,-6.89,1034,0.91,5.4,8545,5,3,1024;1033;1034,
9402,38,137/137A-exb2000,lower,R2C1,Sn-113-9183,-0.8,6.1,1060,0.83,13.4,25888,6,4,1047;1059;1060;1072,
9402,38,137/137A-exb2000,lower,R2C2,Cd-109-9178,-2.3,-1.69,1077,0.83,5.6,20155,4,4,1064;1065;1076;1077,
9402,38,137/137A-exb2000,lower,R2C3,Ce-139-9179,-2.3,-6.89,1081,0.91,4.2,3264,4,4,1068;1069;1080;1081,
9402,39,137/137A-exb2000,upper,R1C1,Bi-207-8890,3.66,6.1,95,0.1,8.0,3554,6,5,94;95;96;104;105,
9402,39,137/137A-exb2000,upper,R1C2,Bi-207-9177,3.66,-0.83,99,0.1,4.3,10506,3,4,98;99;108;109,
9402,39,137/137A-exb2000,upper,R1C3,Bi-207-9176,3.66,-7.76,103,0.1,2.4,3196,1,4,92;102;103;112,CHECK
9402,39,137/137A-exb2000,upper,R2C1,Sn-113-9183,-0.84,5.23,61,0.1,1.6,4389,2,4,48;60;61;73,CHECK
9402,39,137/137A-exb2000,upper,R2C2,Cd-109-9178,-2.34,-0.83,52,0.1,7.6,31725,7,6,41;51;52;53;64;65,
9402,39,137/137A-exb2000,upper,R2C3,Ce-139-9179,-0.84,-8.63,69,0.1,5.1,1509,2,4,56;68;69;81,
9402,39,137/137A-exb2000,lower,R1C1,Bi-207-8890,5.77,4.84,1017,0.63,36.5,29472,5,5,1009;1017;1018;1026;1027,
9402,39,137/137A-exb2000,lower,R1C2,Bi-207-9177,5.17,-1.74,1021,0.08,12.8,24865,6,4,1012;1020;1021;1030,
9402,39,137/137A-exb2000,lower,R1C3,Bi-207-9176,3.67,-7.8,1034,0.08,6.3,9845,2,3,1024;1033;1034,
