run_number,board_channel,pixel_number
8624,82,4
8624,83,13
8624,84,72
8624,85,47
8624,86,73
8624,87,60
8624,88,59
8624,89,36
8624,90,15
8624,91,14
8624,92,45
8624,93,24
8624,94,7
8624,95,34
8624,96,126
8624,97,112
8624,98,127
8624,99,119
8624,100,103
8624,101,120
8624,102,71
8624,103,114
8624,104,113
8624,105,83
8624,106,104
8624,107,121
8624,108,35
8624,109,25
8624,110,54
8624,111,52
8624,112,0
8624,113,0
8624,114,2
8624,115,3
8624,116,6
8624,117,5
8624,118,0
8624,119,0
8624,0,0
8624,0,0
8624,0,0
8624,0,0
8624,0,0
8624,0,0
8624,0,0
8624,0,0
8624,128,1051
8624,129,1063
8624,130,1075
8624,131,1050
8624,132,1062
8624,133,1064
8624,134,1040
8624,135,1052
8624,136,1066
8624,137,1053
8624,138,1041
8624,139,1065
8624,140,1076
8624,141,1089
8624,142,1078
8624,143,1088
8624,144,1087
8624,145,1077
8624,146,1030
8624,147,1039
8624,148,1028
8624,149,1020
8624,150,1029
8624,151,1038
8624,152,1054
8624,153,1042
8624,154,1032
8624,155,1067
8624,156,1043
8624,157,1031
8624,158,1080
8624,159,1090
8624,160,1100
8624,161,1091
8624,162,1079
8624,163,1101
8624,164,1108
8624,165,1098
8624,166,1107
8624,167,1099
8624,168,1106
8624,169,1096
8624,170,1085
8624,171,1097
8624,172,1074
8624,173,1086
8624,174,1048
8624,175,1037
8624,176,1026
8624,177,1061
8624,178,1049
8624,179,1027
8624,180,1019
8624,181,1010
8624,182,1017
8624,183,1011
8624,184,1009
8624,185,1018
8624,186,1044
8624,187,1033
8624,188,1022
8624,189,1056
8624,190,1069
8624,191,1023
8624,192,1055
8624,193,1092
8624,194,1081
8624,195,1068
8624,196,1109
8624,197,1118
8624,198,1102
8624,199,1117
8624,200,1110
8624,201,1111
8624,202,1095
8624,203,1116
8624,204,1084
8624,205,1105
8624,206,1115
8624,207,1094
8624,208,1012
8624,209,1021
8624,210,1004
8624,211,1013
8624,212,1072
8624,213,1047
8624,214,1073
8624,215,1060
8624,216,1059
8624,217,1036
8624,218,1014
8624,219,1112
8624,220,1114
8624,221,58
8624,222,58
8624,223,0
8624,224,58
8624,225,58
8624,226,58
8624,227,0
8624,228,0
8624,229,58
8624,230,0
8624,231,58
8624,0,0
8624,0,0
8624,0,0
8624,0,0
8624,0,0
8624,0,0
8624,0,0
8624,0,0
8624,0,0
8624,0,0
8624,0,0
8624,0,0
8624,0,0
8624,0,0
8624,0,0
8624,0,0
8624,0,0
8624,0,0
8624,0,0
8624,0,0
8624,0,0
8624,0,0
8624,0,0
8624,0,0
8625,0,51
8625,1,63
8625,2,75
8625,3,50
8625,4,62
8625,5,64
8625,6,40
8625,7,58
8625,8,66
8625,9,53
8625,10,41
8625,11,65
8625,12,76
8625,13,89
8625,14,78
8625,15,88
8625,16,87
8625,17,77
8625,18,30
8625,19,39
8625,20,28
8625,21,20
8625,22,29
8625,23,38
8625,24,58
8625,25,42
8625,26,32
8625,27,67
8625,28,43
8625,29,31
8625,30,80
8625,31,90
8625,32,100
8625,33,91
8625,34,79
8625,35,101
8625,36,108
8625,37,98
8625,38,107
8625,39,99
8625,40,106
8625,41,96
8625,42,85
8625,43,97
8625,44,74
8625,45,86
8625,46,48
8625,47,37
8625,48,26
8625,49,61
8625,50,49
8625,51,27
8625,52,19
8625,53,10
8625,54,17
8625,55,11
8625,56,9
8625,57,18
8625,58,44
8625,59,33
8625,60,22
8625,61,56
8625,62,69
8625,63,23
8625,64,55
8625,65,92
8625,66,81
8625,67,68
8625,68,109
8625,69,118
8625,70,102
8625,71,117
8625,72,110
8625,73,111
8625,74,95
8625,75,116
8625,76,84
8625,77,105
8625,78,115
8625,79,94
8625,80,12
8625,81,21
8625,82,4
8625,83,13
8625,84,72
8625,85,47
8625,86,73
8625,87,60
8625,88,59
8625,89,36
8625,90,15
8625,91,14
8625,92,45
8625,93,24
8625,94,7
8625,95,34
8625,96,126
8625,97,112
8625,98,127
8625,99,119
8625,100,103
8625,101,120
8625,102,71
8625,103,114
8625,104,113
8625,105,83
8625,106,104
8625,107,121
8625,108,35
8625,109,25
8625,110,54
8625,111,52
8625,112,0
8625,113,0
8625,114,2
8625,115,3
8625,116,6
8625,117,5
8625,118,0
8625,119,0
8625,0,0
8625,0,0
8625,0,0
8625,0,0
8625,0,0
8625,0,0
8625,0,0
8625,0,0
8625,128,1051
8625,129,1063
8625,130,1075
8625,131,1050
8625,132,1062
8625,133,1064
8625,134,1040
8625,135,1052
8625,136,1066
8625,137,1053
8625,138,1041
8625,139,1065
8625,140,1076
8625,141,1089
8625,142,1078
8625,143,1088
8625,144,1087
8625,145,1077
8625,146,1030
8625,147,1039
8625,148,1028
8625,149,1020
8625,150,1029
8625,151,1038
8625,152,1054
8625,153,1042
8625,154,1032
8625,155,1067
8625,156,1043
8625,157,1031
8625,158,1080
8625,159,1090
8625,160,1100
8625,161,1091
8625,162,1079
8625,163,1101
8625,164,1108
8625,165,1098
8625,166,1107
8625,167,1099
8625,168,1106
8625,169,1096
8625,170,1085
8625,171,1097
8625,172,1074
8625,173,1086
8625,174,1048
8625,175,1037
8625,176,1026
8625,177,1061
8625,178,1049
8625,179,1027
8625,180,1019
8625,181,1010
8625,182,1017
8625,183,1011
8625,184,1009
8625,185,1018
8625,186,1044
8625,187,1033
8625,188,1022
8625,189,1056
8625,190,1069
8625,191,1023
8625,192,1055
8625,193,1092
8625,194,1081
8625,195,1068
8625,196,1109
8625,197,1118
8625,198,1102
8625,199,1117
8625,200,1110
8625,201,1111
8625,202,1095
8625,203,1116
8625,204,1084
8625,205,1105
8625,206,1115
8625,207,1094
8625,208,1012
8625,209,1021
8625,210,1004
8625,211,1013
8625,212,1072
8625,213,1047
8625,214,1073
8625,215,1060
8625,216,1059
8625,217,1036
8625,218,1014
8625,219,1112
8625,220,1114
8625,221,58
8625,222,58
8625,223,0
8625,224,58
8625,225,58
8625,226,58
8625,227,0
8625,228,0
8625,229,58
8625,230,0
8625,231,58
8625,0,0
8625,0,0
8625,0,0
8625,0,0
8625,0,0
8625,0,0
8625,0,0
8625,0,0
8625,0,0
8625,0,0
8625,0,0
8625,0,0
8625,0,0
8625,0,0
8625,0,0
8625,0,0
8625,0,0
8625,0,0
8625,0,0
8625,0,0
8625,0,0
8625,0,0
8625,0,0
8625,0,0
8626,0,51
8626,1,63
8626,2,75
8626,3,50
8626,4,62
8626,5,64
8626,6,40
8626,7,58
8626,8,66
8626,9,53
8626,10,41
8626,11,65
8626,12,76
8626,13,89
8626,14,78
8626,15,88
8626,16,87
8626,17,77
8626,18,30
8626,19,39
8626,20,28
8626,21,20
8626,22,29
8626,23,38
8626,24,58
8626,25,42
8626,26,32
8626,27,67
8626,28,43
8626,29,31
8626,30,80
8626,31,90
8626,32,100
8626,33,91
8626,34,79
8626,35,101
8626,36,108
8626,37,98
8626,38,107
8626,39,99
8626,40,106
8626,41,96
8626,42,85
8626,43,97
8626,44,74
8626,45,86
8626,46,48
8626,47,37
8626,48,26
8626,49,61
8626,50,49
8626,51,27
8626,52,19
8626,53,10
8626,54,17
8626,55,11
8626,56,9
8626,57,18
8626,58,44
8626,59,33
8626,60,22
8626,61,56
8626,62,69
8626,63,23
8626,64,55
8626,65,92
8626,66,81
8626,67,68
8626,68,109
8626,69,118
8626,70,102
8626,71,117
8626,72,110
8626,73,111
8626,74,95
8626,75,116
8626,76,84
8626,77,105
8626,78,115
8626,79,94
8626,80,12
8626,81,21
8626,82,4
8626,83,13
8626,84,72
8626,85,47
8626,86,73
8626,87,60
8626,88,59
8626,89,36
8626,90,15
8626,91,14
8626,92,45
8626,93,24
8626,94,7
8626,95,34
8626,96,126
8626,97,112
8626,98,127
8626,99,119
8626,100,103
8626,101,120
8626,102,71
8626,103,114
8626,104,113
8626,105,83
8626,106,104
8626,107,121
8626,108,35
8626,109,25
8626,110,54
8626,111,52
8626,112,0
8626,113,0
8626,114,2
8626,115,3
8626,116,6
8626,117,5
8626,118,0
8626,119,0
8626,0,0
8626,0,0
8626,0,0
8626,0,0
8626,0,0
8626,0,0
8626,0,0
8626,0,0
8626,128,1051
8626,129,1063
8626,130,1075
8626,131,1050
8626,132,1062
8626,133,1064
8626,134,1040
8626,135,1052
8626,136,1066
8626,137,1053
8626,138,1041
8626,139,1065
8626,140,1076
8626,141,1089
8626,142,1078
8626,143,1088
8626,144,1087
8626,145,1077
8626,146,1030
8626,147,1039
8626,148,1028
8626,149,1020
8626,150,1029
8626,151,1038
8626,152,1054
8626,153,1042
8626,154,1032
8626,155,1067
8626,156,1043
8626,157,1031
8626,158,1080
8626,159,1090
8626,160,1100
8626,161,1091
8626,162,1079
8626,163,1101
8626,164,1108
8626,165,1098
8626,166,1107
8626,167,1099
8626,168,1106
8626,169,1096
8626,170,1085
8626,171,1097
8626,172,1074
8626,173,1086
8626,174,1048
8626,175,1037
8626,176,1026
8626,177,1061
8626,178,1049
8626,179,1027
8626,180,1019
8626,181,1010
8626,182,1017
8626,183,1011
8626,184,1009
8626,185,1018
8626,186,1044
8626,187,1033
8626,188,1022
8626,189,1056
8626,190,1069
8626,191,1023
8626,192,1055
8626,193,1092
8626,194,1081
8626,195,1068
8626,196,1109
8626,197,1118
8626,198,1102
8626,199,1117
8626,200,1110
8626,201,1111
8626,202,1095
8626,203,1116
8626,204,1084
8626,205,1105
8626,206,1115
8626,207,1094
8626,208,1012
8626,209,1021
8626,210,1004
8626,211,1013
8626,212,1072
8626,213,1047
8626,214,1073
8626,215,1060
8626,216,1059
8626,217,1036
8626,218,1014
8626,219,1112
8626,220,1114
8626,221,58
8626,222,58
8626,223,0
8626,224,58
8626,225,58
8626,226,58
8626,227,0
8626,228,0
8626,229,58
8626,230,0
8626,231,58
8626,0,0
8626,0,0
8626,0,0
8626,0,0
8626,0,0
8626,0,0
8626,0,0
8626,0,0
8626,0,0
8626,0,0
8626,0,0
8626,0,0
8626,0,0
8626,0,0
8626,0,0
8626,0,0
8626,0,0
8626,0,0
8626,0,0
8626,0,0
8626,0,0
8626,0,0
8626,0,0
8626,0,0
8627,0,51
8627,1,63
8627,2,75
8627,3,50
8627,4,62
8627,5,64
8627,6,40
8627,7,58
8627,8,66
8627,9,53
8627,10,41
8627,11,65
8627,12,76
8627,13,89
8627,14,78
8627,15,88
8627,16,87
8627,17,77
8627,18,30
8627,19,39
8627,20,28
8627,21,20
8627,22,29
8627,23,38
8627,24,58
8627,25,42
8627,26,32
8627,27,67
8627,28,43
8627,29,31
8627,30,80
8627,31,90
8627,32,100
8627,33,91
8627,34,79
8627,35,101
8627,36,108
8627,37,98
8627,38,107
8627,39,99
8627,40,106
8627,41,96
8627,42,85
8627,43,97
8627,44,74
8627,45,86
8627,46,48
8627,47,37
8627,48,26
8627,49,61
8627,50,49
8627,51,27
8627,52,19
8627,53,10
8627,54,17
8627,55,11
8627,56,9
8627,57,18
8627,58,44
8627,59,33
8627,60,22
8627,61,56
8627,62,69
8627,63,23
8627,64,55
8627,65,92
8627,66,81
8627,67,68
8627,68,109
8627,69,118
8627,70,102
8627,71,117
8627,72,110
8627,73,111
8627,74,95
8627,75,116
8627,76,84
8627,77,105
8627,78,115
8627,79,94
8627,80,12
8627,81,21
8627,82,4
8627,83,13
8627,84,72
8627,85,47
8627,86,73
8627,87,60
8627,88,59
8627,89,36
8627,90,15
8627,91,14
8627,92,45
8627,93,24
8627,94,7
8627,95,34
8627,96,126
8627,97,112
8627,98,127
8627,99,119
8627,100,103
8627,101,120
8627,102,71
8627,103,114
8627,104,113
8627,105,83
8627,106,104
8627,107,121
8627,108,35
8627,109,25
8627,110,54
8627,111,52
8627,112,0
8627,113,0
8627,114,2
8627,115,3
8627,116,6
8627,117,5
8627,118,0
8627,119,0
8627,0,0
8627,0,0
8627,0,0
8627,0,0
8627,0,0
8627,0,0
8627,0,0
8627,0,0
8627,128,1051
8627,129,1063
8627,130,1075
8627,131,1050
8627,132,1062
8627,133,1064
8627,134,1040
8627,135,1052
8627,136,1066
8627,137,1053
8627,138,1041
8627,139,1065
8627,140,1076
8627,141,1089
8627,142,1078
8627,143,1088
8627,144,1087
8627,145,1077
8627,146,1030
8627,147,1039
8627,148,1028
8627,149,1020
8627,150,1029
8627,151,1038
8627,152,1054
8627,153,1042
8627,154,1032
8627,155,1067
8627,156,1043
8627,157,1031
8627,158,1080
8627,159,1090
8627,160,1100
8627,161,1091
8627,162,1079
8627,163,1101
8627,164,1108
8627,165,1098
8627,166,1107
8627,167,1099
8627,168,1106
8627,169,1096
8627,170,1085
8627,171,1097
8627,172,1074
8627,173,1086
8627,174,1048
8627,175,1037
8627,176,1026
8627,177,1061
8627,178,1049
8627,179,1027
8627,180,1019
8627,181,1010
8627,182,1017
8627,183,1011
8627,184,1009
8627,185,1018
8627,186,1044
8627,187,1033
8627,188,1022
8627,189,1056
8627,190,1069
8627,191,1023
8627,192,1055
8627,193,1092
8627,194,1081
8627,195,1068
8627,196,1109
8627,197,1118
8627,198,1102
8627,199,1117
8627,200,1110
8627,201,1111
8627,202,1095
8627,203,1116
8627,204,1084
8627,205,1105
8627,206,1115
8627,207,1094
8627,208,1012
8627,209,1021
8627,210,1004
8627,211,1013
8627,212,1072
8627,213,1047
8627,214,1073
8627,215,1060
8627,216,1059
8627,217,1036
8627,218,1014
8627,219,1112
8627,220,1114
8627,221,58
8627,222,58
8627,223,0
8627,224,58
8627,225,58
8627,226,58
8627,227,0
8627,228,0
8627,229,58
8627,230,0
8627,231,58
8627,0,0
8627,0,0
8627,0,0
