run,detector,slot,source,pred_x,pred_y,peak_pixel,snap_dist,n_pixels,pixels,flag
8635,upper,R2C1,Bi-207-9176,-0.46,7.96,59,0.76,5,47;59;60;71;72,
8635,upper,R2C2,Bi-207-9177,0.41,1.81,75,0.86,5,62;63;75;76;87,
8635,upper,R2C3,Bi-207-8779,2.47,-2.82,79,2.29,5,66;67;78;79;80,CHECK
8635,lower,R1C2,Cd-109-9178,5.32,3.4,1018,0.1,6,1009;1010;1017;1018;1019;1027,
8635,lower,R1C3,Bi-207-8890,5.24,-3.03,1021,1.3,6,1012;1013;1020;1021;1022;1031,
8635,lower,R2C1,Bi-207-9176,0.5,7.28,1047,0.57,4,1047;1048;1059;1060,
8635,lower,R2C2,Bi-207-9177,0.49,0.53,1051,0.42,5,1039;1050;1051;1063;1064,
8635,lower,R2C3,Bi-207-8779,0.55,-5.87,1067,1.47,4,1054;1055;1066;1067,
8636,upper,R1C2,Cd-109-9178,2.98,4.99,85,0.76,4,85;86;95;96,
8636,upper,R1C3,Bi-207-8890,4.12,-1.03,99,0.41,6,88;89;98;99;100;109,
8636,upper,R2C1,Bi-207-9176,-2.63,8.4,47,0.71,4,47;48;59;60,
8636,upper,R2C2,Bi-207-9177,-1.75,2.25,50,0.61,4,39;50;51;63,
8636,upper,R2C3,Bi-207-8779,0.31,-2.38,66,1.52,4,53;54;66;67,
8636,lower,R1C2,Cd-109-9178,3.63,4.32,1027,0.12,7,1017;1018;1026;1027;1028;1037;1038,
8636,lower,R1C3,Bi-207-8890,3.54,-2.12,1031,0.52,5,1021;1030;1031;1041;1042,
8636,lower,R2C1,Bi-207-9176,-1.19,8.2,1072,1.13,4,1059;1060;1072;1073,
8636,lower,R2C2,Bi-207-9177,-1.21,1.44,1076,1.19,5,1063;1064;1075;1076;1087,
8636,lower,R2C3,Bi-207-8779,-1.14,-4.96,1079,1.27,5,1066;1067;1079;1080;1091,
8637,upper,R1C2,Cd-109-9178,0.69,5.49,73,0.58,4,61;73;74;85,
8637,upper,R1C3,Bi-207-8890,1.83,-0.54,77,1.13,5,65;77;78;88;89,
8637,upper,R2C1,Bi-207-9176,-4.92,8.89,36,2.28,7,25;26;35;36;37;47;48,CHECK
8637,upper,R2C2,Bi-207-9177,-4.04,2.74,51,2.59,4,39;40;50;51,CHECK
8637,upper,R2C3,Bi-207-8779,-1.98,-1.88,42,2.37,4,32;42;43;54,CHECK
8637,lower,R1C2,Cd-109-9178,0.75,4.42,1049,0.09,7,1037;1038;1048;1049;1050;1061;1062,
8637,lower,R1C3,Bi-207-8890,0.66,-2.01,1053,0.59,5,1041;1042;1052;1053;1065,
8637,lower,R2C1,Bi-207-9176,-4.07,8.3,1084,1.41,4,1084;1085;1094;1095,
8637,lower,R2C2,Bi-207-9177,-4.09,1.55,1087,0.38,6,1076;1086;1087;1088;1097;1098,
8637,lower,R2C3,Bi-207-8779,-4.02,-4.85,1091,0.44,4,1090;1091;1101;1102,
8643,upper,R1C2,Cd-109-9178,-0.87,5.1,61,0.15,7,48;49;60;61;62;73;74,
8643,upper,R1C3,Bi-207-8890,0.27,-0.93,77,0.48,4,77;78;88;89,
8643,upper,R2C1,Bi-207-9176,-6.48,8.5,25,1.42,5,25;26;35;36;37,
8643,upper,R2C2,Bi-207-9177,-5.6,2.35,19,1.31,7,10;11;18;19;20;28;29,
8643,upper,R2C3,Bi-207-8779,-3.54,-2.27,52,1.91,5,51;52;53;64;65,CHECK
8643,lower,R1C2,Cd-109-9178,-0.73,4.21,1062,0.75,4,1049;1061;1062;1074,
8643,lower,R1C3,Bi-207-8890,-0.82,-2.22,1065,0.5,6,1053;1064;1065;1066;1077;1078,
8643,lower,R2C1,Bi-207-9176,-5.55,8.09,1094,0.43,3,1084;1094;1095,
8643,lower,R2C2,Bi-207-9177,-5.57,1.34,1107,1.25,4,1097;1098;1107;1108,
8643,lower,R2C3,Bi-207-8779,-5.5,-5.06,1111,1.25,4,1101;1102;1110;1111,
8644,upper,R1C2,Cd-109-9178,2.27,-3.27,90,0.19,5,78;79;90;91;101,
8644,upper,R1C3,Bi-207-8890,3.41,-9.3,103,1.54,3,92;102;103,
8644,upper,R2C1,Bi-207-9176,-3.34,0.13,51,1.31,7,39;40;50;51;52;63;64,
8644,upper,R2C2,Bi-207-9177,-2.46,-6.02,43,1.53,7,32;33;42;43;44;54;55,
8644,upper,R2C3,Bi-207-8779,-0.4,-10.64,69,2.01,4,68;69;80;81,CHECK
8644,lower,R1C2,Cd-109-9178,2.67,1.57,1039,0.45,6,1028;1029;1038;1039;1040;1051,
8644,lower,R1C3,Bi-207-8890,2.58,-4.87,1043,0.47,6,1032;1033;1042;1043;1054;1055,
8644,lower,R2C1,Bi-207-9176,-2.15,5.45,1062,2.43,5,1049;1050;1061;1062;1063,CHECK
8644,lower,R2C2,Bi-207-9177,-2.16,-1.3,1066,2.58,3,1053;1065;1066,CHECK
8644,lower,R2C3,Bi-207-8779,-2.1,-7.71,1080,1.65,5,1067;1079;1080;1091;1092,
8645,upper,R2C1,Bi-207-9176,-8.91,8.37,,,0,,CHECK
8645,upper,R1C2,Cd-109-9178,-3.3,4.97,37,0.51,5,27;37;38;48;49,
8645,upper,R1C3,Bi-207-8890,-2.16,-1.05,41,1.73,6,30;31;40;41;52;53,
8645,upper,R2C2,Bi-207-9177,-8.03,2.23,10,0.43,4,10;11;18;19,
8645,upper,R2C3,Bi-207-8779,-5.97,-2.4,32,2.06,5,32;33;42;43;44,CHECK
8645,lower,R1C2,Cd-109-9178,-2.98,4.3,1074,0.73,5,1073;1074;1075;1085;1086,
8645,lower,R1C3,Bi-207-8890,-3.06,-2.13,1089,0.79,5,1077;1078;1088;1089;1090,
8645,lower,R2C1,Bi-207-9176,-7.8,8.19,1094,2.58,3,1084;1094;1095,CHECK
8645,lower,R2C2,Bi-207-9177,-7.81,1.43,1116,0.72,4,1107;1108;1115;1116,
8645,lower,R2C3,Bi-207-8779,-7.75,-4.97,1101,2.58,4,1091;1101;1102;1111,CHECK
8646,upper,R1C2,Cd-109-9178,-2.26,2.01,50,0.59,4,39;50;51;63,
8646,upper,R1C3,Bi-207-8890,-1.12,-4.01,54,1.17,5,42;43;53;54;55,
8646,upper,R2C1,Bi-207-9176,-7.87,5.41,18,2.25,5,10;18;19;27;28,CHECK
8646,upper,R2C2,Bi-207-9177,-6.99,-0.73,12,1.27,4,12;13;20;21,
8646,upper,R2C3,Bi-207-8779,-4.93,-5.36,44,1.96,3,33;34;44,CHECK
